Designator,Mid X,Mid Y,Rotation,Layer
D1,42.485,-65.48,0.0,bottom
D10,98.985,-64.48,0.0,bottom
D11,118.485,-72.44,0.0,bottom
D12,137.485,-72.44,0.0,bottom
D13,42.485,-103.48,0.0,bottom
D14,61.485,-103.48,0.0,bottom
D15,80.485,-89.98,0.0,bottom
D16,99.485,-83.48,0.0,bottom
D17,118.485,-91.44,0.0,bottom
D18,137.485,-91.44,0.0,bottom
D19,42.485,-122.48,0.0,bottom
D2,61.485,-65.48,0.0,bottom
D20,61.485,-122.48,0.0,bottom
D21,80.485,-108.98,0.0,bottom
D22,99.485,-102.48,0.0,bottom
D23,118.485,-110.44,0.0,bottom
D24,137.485,-110.44,0.0,bottom
D25,162.485905,-120.43487,20.0,bottom
D26,180.405675,-126.631774,20.0,bottom
D27,136.485228,-132.937395,10.0,bottom
D28,155.905675,-138.131774,20.0,bottom
D29,173.985905,-144.93487,20.0,bottom
D3,80.485,-51.98,0.0,bottom
D30,116.985057,-130.438692,5.0,bottom
D4,99.485,-45.48,0.0,bottom
D5,118.485,-53.44,0.0,bottom
D6,137.675,-53.44,0.0,bottom
D7,42.485,-84.48,0.0,bottom
D8,61.485,-84.48,0.0,bottom
D9,80.675,-70.98,0.0,bottom
J1,171.12,-58.41,0.0,top
J2,197.825709,-96.65424,355.0,top
MX1,42.5,-60.98,0.0,bottom
MX10,99.5,-59.98,0.0,bottom
MX11,118.5,-67.94,0.0,bottom
MX12,137.5,-67.94,0.0,bottom
MX13,42.5,-98.98,0.0,bottom
MX14,61.5,-98.98,0.0,bottom
MX15,80.46,-85.48,0.0,bottom
MX16,99.5,-78.98,0.0,bottom
MX17,118.5,-86.94,0.0,bottom
MX18,137.5,-86.94,0.0,bottom
MX19,42.5,-117.98,0.0,bottom
MX2,61.5,-60.98,0.0,bottom
MX20,61.5,-117.98,0.0,bottom
MX21,80.46,-104.48,0.0,bottom
MX22,99.5,-97.98,0.0,bottom
MX23,118.5,-105.94,0.0,bottom
MX24,137.5,-105.94,0.0,bottom
MX25,164.0,-115.914257,20.0,bottom
MX26,181.929334,-122.44,20.0,bottom
MX27,137.5,-128.44,10.0,bottom
MX28,157.5,-133.94,20.0,bottom
MX29,175.354159,-140.438382,20.0,bottom
MX3,80.46,-47.48,0.0,bottom
MX30,117.5,-125.94,5.0,bottom
MX4,99.5,-40.98,0.0,bottom
MX5,118.5,-48.98,0.0,bottom
MX6,137.5,-48.94,0.0,bottom
MX7,42.5,-79.98,0.0,bottom
MX8,61.5,-79.98,0.0,bottom
MX9,80.5,-66.56,0.0,bottom
